# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
221-001	펠……아니면, 저건 망령이었을까───모르겠지만……,
221-002	……아무튼 그녀는 사라지고……,
221-003	……나, 혼자다.
221-004	"……"
221-005	……
221-006	양손의 손바닥을, 가슴에 꼭 눌러 댄다.
221-007	이전에……저 사람이 해 준 것처럼,⏎스스로 밀어낼 수 있지 않을까 싶어서.
221-008	……강하게 바라면, 혹시, 라든가……,
221-009	……
221-010	아무것도, 일어나지 않는다.
221-011	집중……하면,⏎지금까지는 뭔가 일으킬 수 있었는데, 여기서는……무력한 모양.
221-012	"……혹시 끝이 있을지도 몰라.⏎벽이라든가 경계라든가……"
221-013	떠오른 걸 소리 내는 것뿐……,
221-014	이 목소리가, 누군가에게 들리면 좋겠는데.
221-015	……가능하면, 살아 있는 누군가면 좋겠다…….
221-016	"……주변을 더 둘러보자. 지난번엔 거의 못 봤으니까"
221-017	나는 돌아서서……,
221-018	……어둠 속으로 걸어 나갔다.
221-019	여긴……,
221-020	왠지……엄청 '거리' 같은 느낌.
221-021	……사람 손으로, 만들어진 느낌이 있다.
221-022	"……어쩌면 정말로 그런 걸지도……"
221-023	건물 벽면에 있는,⏎검고 반들반들한 것을 들여다본다……창문인가?
221-024	"이거, 사람 손으로 만든 걸까? 그렇다면, 뭔가 달라지는 게 있나?"
221-025	"……아니, 즉석에서 지어낸 걸까. 근거도 없으면서"
221-026	"여기선 아무것도 못 해, 만들어 낼 수 없어…….⏎사고만으로는, 아무것도……"
221-027	"……"
221-028	"……저기─요? 아무도 없나요─!"
221-029	"……"
221-030	……터벅터벅 계속 걷는다.
221-031	……진심으로……무서워지기 시작했다…….
221-032	뭘 시도해도 손맛이 없고, 게다가,⏎아직도 끝 같은 것에 가까워지는 느낌도 안 들어…….
221-033	여긴, 중립 상태의 '마인드스케이프',⏎즉 누구의 내면도 비추지 않을 때의 '그것'과도 다르고…….⏎이해를 넘어선 불가해한 공간, 그것도 아니고……,
221-034	……터무니없이 넓은, 아무튼 그저 드넓기만 한 공간이었다.
221-035	이 큰길도, 끝없이 계속 이어져 있어서……,
221-036	……그늘 같은 데에……있을 리 없는 그림자가……보이기 시작하고 있어.
221-037	창백한 얼굴의, 꿈쩍도 안 하는 것들이……,
221-038	이쪽을 보고 있는 걸까. 모르겠어……,
221-039	……
221-040	팔뚝을 꼭 붙잡는다. 정신을 차려 보니 자세가 앞으로 굽어 있다.
221-041	할 수 있는 것도, 쓸 수 있는 것도 없어……,⏎지금 여기서 뭔가 있어도, 도무지 어쩔 방법이 없어.
221-042	다들 괜찮을까? 얼마나 지난 걸까? 20분?
221-043	여기에 갇혀 있는 동안, 내 '본체'는 어떻게 되는 거야?
221-044	……!
221-045	하……빨리 여기서 안 나가면!
221-046	앞을 향해 달려 나간다.
221-047	여긴 현실이 아니니까……아무리 뛰어도 안 지친다.
221-048	그러니까 그저 달린다.
221-049	봐! 더 빨리! 아무튼……달리는 거야!
221-050	달려, 달려! 여기서 내보내 줘───부탁이야!
221-051	출구가 없을 리 없어……나, 특별하잖아?⏎이 정도는 할 수 있어야지!
221-052	이런 데 있을 때가 아니야!⏎아이리스 씨……메이……다들───!
221-053	갇혀서 그걸로 끝이라니, 있을 수 없어!
221-054	젠장……
221-055	젠장!
221-056	정신 차려, 니아! 어떻게든 하는 거야!
221-057	발이 멈춘다. 양손을 지면에 짚는다.
221-058	손바닥이 어두운 노면을 긁는다. 하지만 아무 감촉도 없다.
221-059	그저 마음이, 와닿을 뿐.
221-060	……그것뿐인 게, 더욱 견디기 어려워서,
221-061	이제 소리치고 싶었다.
221-062	소리쳐도, 울림조차 없겠지.
221-063	이제……무섭고 무서워서 견딜 수가 없었다.
221-064	왜냐면, 여기에는 아무것도 없으니까.
221-065	아무것도 하나 없는 거야.
221-066	봐, 봐, 봐.⏎……정신 차려야 해, 정신 차리라고! 있잖아!
221-067	"으윽……!"
221-068	"뭐……?"
221-069	"……"
221-070	억지로 지면에 눌러 댄 양손으로 손톱을 세우고, 가짜 대지를 파헤쳤다.
221-071	눈이 크게 떠지고, 두근두근 심장 소리가 느껴지고 있다.
221-072	밖이, 다시 보이고 있었다.
221-073	이……
221-074	이걸 놓치면 안 돼…….
221-075	뚫고 나가는 거야!
221-076	……!
221-077	"이거……"
221-078	나온…… 거야?
221-079	……! 아니야……,
221-080	손이……내 발목을 붙잡고 있는 듯한 감각……,
221-081	……!!
221-082	끌어당겨서……다시 끌어들이려는 거야……!?
221-083	끌려들어 가서……만약……그걸로 끝이라면……!?
221-084	시, 싫어……!
221-085	고개를 들어, 눈부신 빛으로 눈을 돌린다.
221-086	반드시 여기서 나가고 말 거야……!
