# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
223-001	내가 펠에게 보여진 건……,
223-002	이른바, 리플레이───우리 부모님이 저지른 과오의 전부였다.⏎뭐, 내 존재는 카운트되지 않았지만!⏎후후후, 아하하하하하핫!!
223-003	죽어라.
223-004	"……"
223-005	"……"
223-006	지금은 둘이서, 니아의 집을 향하는 중…….
223-007	……
223-008	펠이 보여준 환영은……너무나 구체적이었다.
223-009	그래도 우리 부모님을 펠이 알고 있는 것 같진 않았다.⏎생각건대, 그건……,
223-010	내가, 이오 랩티스의 마음을 꺾을 때 쓴, 거친 힘…….⏎본능 기반의 지배를, 더 정교하게 다듬은 것 같은 거겠지.
223-011	……나, 펠에게 배신당한 충격을 완화하려는 거야?
223-012	다음 주, 수업에서 펠과 얼굴을 맞대면, 어떻게 대해야 하는 거야?
223-013	……젠장.
223-014	……니아? 니아에게는……,
223-015	솔직히 목숨이 몇 년은 줄 만큼 무서웠어. 그리고 지금의 본인은……,
223-016	……
223-017	……최악이었다.
223-018	이런 건……,
223-019	젠장……, 빌어먹을…….
223-020	내 정서, 엉망진창이야…….
223-021	"……'AARC'에서 과제가 나왔어…….⏎당분간 집을 나가서 살라고 했어. 그, 책임감 훈련, 이라든가로……"
223-022	"괜찮을까? 그동안은, 메이네 집에 묵을 테니까───,⏎얼마나 걸릴지는, 잘 모르겠지만"
223-023	"에? 왜, 왜 메이는 집을 안 나가도 되냐고?⏎그건 그, 그 애는 이미 자취로 생활하고 있고,⏎그럴 필요도 없다고……그래그래"
223-024	"특히 나랑 아이리스 씨는, 거기가 말이지……응……"
223-025	"……"
223-026	"고마워, 엄마, 아빠……"
223-027	"……"
223-028	그로부터 몇 분 후……,
223-029	니아는 커다란 여행 가방에 짐을 채워 돌아왔다.
223-030	"……"
223-031	"……"
223-032	"저, 메이?……역시 나,⏎진실을 말하는 게 좋을까요? 이렇게……처음부터 전부라든가.⏎아니면, 짜맞춘 대로, 거짓말을 하는 게 좋을까요?"
223-033	……하아.
223-034	알 리가 없잖아. 나, 부모 같은 거 죽을 만큼 싫어하니까.
223-035	으그……,
223-036	"……뭐, 다 같이 의논해서 정한 거고……"
223-037	"하하……도망치는 선택이네요"
223-038	"……"
223-039	"갑시다……"
223-040	그래서……둘이서 무사히 집에 도착했다.
223-041	……니아, 목욕은 어쩌지?⏎'목욕해'라든가 명령해야 하는 느낌?
223-042	……어딘가에 메모해 두는 게 좋겠다. 애완동물을 맡았을 때처럼.⏎설령, 하루나 반나절뿐이라 해도, 조심해야겠지.
223-043	그런 걸 생각하면서,⏎현관으로 이어지는 계단으로 향하던 도중, 발을 멈췄다.⏎니아가 소매를 잡아당겼다.
223-044	가로등 아래에 멈춰 선 채,⏎니아는 저쪽, 펼쳐진 밤하늘을 올려다보고 있었다.
223-045	……나도, 그 시선을 눈으로 좇았다.
223-046	"……"
223-047	"메이, 정말 고마워……"
223-048	"만약……만약 내가 정말로 실수해서,⏎그래서 저기서 영원히 못 나오게 된다면……"
223-049	"……그때는, 미안해요"
223-050	"……"
223-051	"정말 기뻤어요. 맨 처음, 메이가 말을 걸어 줘서.⏎처음 얘기했을 때 내가, 실수해 버렸는데…….⏎메이가 내 친구로 있어 줘서, 정말 기뻤고"
223-052	"메이는, 멋져요……"
223-053	"……고마워"
223-054	"솔직히 말하면, 니아가 굴하지 않고 말을 걸어 줘서, 나도 기뻐"
223-055	"만약, 니아가 저기서 못 나오게 된다면……"
223-056	"내가 찾아내서, 데리고 돌아올게. 알겠어?"
223-057	"아하하, 참, 말했잖아요. 위험하다고"
223-058	"응. 그래도 할 거야"
223-059	니아가 보고 있는 게 느껴진다.⏎나는, 슈라우드를 올려다본 채.
223-060	"멋부리지 마.⏎스스로 위험에 뛰어든 어느 분에게, 신세 진 채로 둘 순 없으니까"
223-061	"나는, 신세를 갚을 뿐"
223-062	"……금방, 또 만날 거야. 반드시"
223-063	"……"
223-064	"……"
223-065	"……"
223-066	……아무래도 벌써 가 버린 모양.
223-067	"……"
223-068	"간다. 따라와, 니아"
223-069	내가 집에 들어가자……,⏎니아는 시킨 대로, 아무 생각 없이, 곧바로 뒤따라온다.
223-070	발을 멈춘다.
223-071	……
223-072	……여행 가방을 들고, 계단을 올라오라고 전했다.
223-073	……
223-074	오늘 밤 니아에게 다이브해 볼 생각이지만……,
223-075	지금은 준비하자.⏎이 최악의 하루를 끝내기 위해서도.
