# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
229-001	"아……저건……?"
229-002	"……"
229-003	"저건…… 에이브의 거지? 달리 뭐가 있어?"
229-004	"다른 세계, 라든가?"
229-005	"응, 그래……그렇게 말하고 있잖아"
229-006	"에이브의 세계라는 거야?"
229-007	"그래……"
229-008	"있잖아……나 무서워……"
229-009	카나우의 왼손에 손을 뻗었다.⏎안쪽에 있는 그녀도, 똑같이 카나우의 오른손에 손을 뻗었다.
229-010	"……"
229-011	"괜찮아, 카나우"
229-012	그녀는 미소 지었다. 언제나 미소 짓고 있다.
229-013	"다들 함께니까"
229-014	"으……응!"
229-015	"함께라면……뭔가 할 수 있지 않을까……"
229-016	"할 수 있어"
229-017	카이오에게 눈을 돌리자, 그의 안경에 핑크빛 빛이 반사되고 있었다.⏎입가에 미소를 띠고 있다.
229-018	"왜냐면, 여기까지 왔잖아?"
229-019	"으음……처음엔 카이오를 의자에서 끌어내려는 것뿐이었는데,⏎설마 현실의 끝까지 와 버리다니"
229-020	"앗하하……마치 RPG 같네?"
229-021	"처음엔 슬라임 퇴치, 마지막엔 '죽음'을 쓰러뜨리는 거?"
229-022	"그래그래! 카이오 슬라임은 동료가 되고 싶은 듯이 이쪽을 보고 있어!"
229-023	"시, 시끄러워……"
229-024	"괜찮아 카이오.⏎네가 슬라임보다 훨씬 멋지다는 거, 우리 알고 있어"
229-025	"그거 참 고맙군, 소스케"
229-026	"카이오는 빨개졌다!"
229-027	"그만하라니까……!"
229-028	……정말 좋아했어.
229-029	그녀도, 그래.
229-030	마치 다 같이……날아오를 듯한 기분이었다.
229-031	아니……실제로, 정말로 그랬지?
229-032	날아올라, 아득히 위의 세계에서……,
229-033	……
229-034	그런 장소를 떨어뜨린다니……하지 않지?
229-035	"손을 잡아"
229-036	뻗어진 그 손에, 눈을 돌리고.
229-037	그리고 그녀의 얼굴을 봤다.
229-038	그 눈동자를, 들여다본다.
229-039	그 눈에, 줄곧, 줄곧 갈망해 왔던……이제 십 년이 되려나.
229-040	조금, 얼굴을 찌푸렸다…….
229-041	"자, 가자. 우리가 봐야 하니까"
229-042	"둘이 함께, 응"
229-043	"……나를……혼자 두지 마"
229-044	그래……,
229-045	그때 나는, 그 손을 망설임 없이 잡았던 거다.
229-046	그리고 보고 말았다───.
229-047	인생에 찾아오는,
229-048	거스를 수 없는 파멸을.
229-049	즉 삶이란───,
229-050	파멸을 짊어지고, 파멸을 향해 가는 영위다.
229-051	꽃을 걷어차고,
229-052	풀을 짓밟고,
229-053	사냥해 죽인 고기를 먹고,
229-054	피 한 방울까지 다 빨아들인다.
229-055	그리고 쇠퇴해서,
229-056	죽음에 이른다.
229-057	……그래, 모든 것은 언젠가, 죽음에 이른다.
229-058	아무리 구하고 싶은 세계라도───,
