# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
232-001	그리고 또 하루가……끝났다.
232-002	자───,
232-003	……? 내 스마트폰?
232-004	"응─? 왜 그래?"
232-005	프레이야다…….
232-006	오늘은 방과 후라 해도,⏎곧바로 건물에 오지 말아 줬으면 한다.
232-007	평시보다 두 시간 반, 늦게 오도록.
232-008	자세한 건 나중에 직접 설명하겠다.
232-009	흠?
232-010	"왜 그래? 왜 그래!?"
232-011	우리 담당자가 왠지 수상합니다.
232-012	뭐, 예상 범위 안이라 할 수 없는 것도 아니지만……,
232-013	지난주엔 여러 일이 있었고, 저쪽도 여러모로 대응할 게 있을 거다.
232-014	……게다가 어쩐지 예감도……아니, '예감'은 이상하죠.⏎예감이라든가, 직감이라든가……그런 건 존재하지 않는 것.
232-015	……뭐, 됐지만.⏎───응? 프레이야 빠진 그룹 채팅에 알림…….
232-016	메이, 네 집에 모여도 돼?
232-017	오케이요
232-018	그런데, 우선은 중앙역에서 만나자.⏎거기서 안내할게
232-019	흠……,
232-020	……
232-021	"토우코, 내일 또 봐"
232-022	"아───응, 알았어! 또 봐!"
232-023	그대로, 나는 교실을 나선다.
232-024	"그럼, 따라와……"
232-025	……오오……,
232-026	"바로 본론인데……"
232-027	"니아가 또 재미있는 발견을 했어.⏎그 으스스한 거리라는 건 꽤……위험한 느낌이 들어"
232-028	"만약을 위해, '마인드스케이프'로의 다이브는 삼가지 않을래?⏎화제에 올리는 건 괜찮지만, 당분간 그런 건,⏎피하는 게 좋다고 생각하고……"
232-029	……뭐, 마음에 새겨 두는 정도면 좋다.⏎분명 니아가 발견한 장소를, 나는 모르고…….
232-030	"그리고 지난번 화낸 때에 대해서……사과하고 싶어"
232-031	"정말로, 미안해. 니아"
232-032	"그때는 아무튼……여러 일이 너무 많아서"
232-033	"저, 저야말로……고함쳐서 죄송했습니다……"
232-034	"괜찮아"
232-035	"아무튼……,⏎메이 사는 곳에 대해 여러 가지 묻고 싶은데……"
232-036	"……우선 진지하게 얘기해야 할 게,⏎몇 가지 있지?"
232-037	어떤 의제부터로 할까요?
232-038	"……말 안 할 생각이야?"
232-039	"……"
232-040	"죄송합니다, 말할게요"
232-041	여긴, 신중하게 가야……,
232-042	"본론으로 들어가자"
232-043	"우선 다이브는 꿈 따위가 아니야. 우리가 실제로 할 수 있는 행동이야.⏎그리고 슈라우드와 어떤 관계가 있는 모양이야"
232-044	"안에 들어가면, 우리 주위를 삼각형이 부산히 돌아다녀.⏎RMI 조각처럼 말이야"
232-045	"제가 읽은 적은 문헌과도 일치합니다.⏎다만, 애초에 절대량이 적은 것과, 언급되는 방식도 고작 전승이라든가,⏎구전 취급입니다. 최악의 경우, 지어낸 얘기나 판타지 취급이죠"
232-046	"그리고 당연하지만 다시 말해 두자면,⏎슈라우드에 대해 얘기한다면, 당연히 에이브에 대해서도 얘기하게 돼"
232-047	"이 경우, 역린에 닿을 가능성도 있다, 는 거다……"
232-048	"……즉 RMI 분리를 일으킬 가능성도 있다, 라는 거지"
232-049	"그래. 이 거리 어디에 있는지 모르겠지만,⏎아이온 레코더도 작동할 거야……"
232-050	"그래서 다수가 죽게 되는 거고"
232-051	……즉 아리아 아버지와 마찬가지로, 라는 거지.⏎아이리스가 그 가능성에 대해 생각하는 건, 그 때문일까.
232-052	정면에서 아이리스에게 응시당해, 니아가 몸서리쳤다.
232-053	"지, 지금까지는, 아무 일도 안 일어났……죠"
232-054	"정확히 말하면, 일어나도 이상하지 않아……"
232-055	"……"
232-056	"아무 일도 일어나지 않아요"
232-057	"……"
232-058	"어째서 그렇게 단언할 수 있어, 스토리?"
232-059	"방금 그 전승 속에서조차,⏎그런 부류의 일은 전혀 일어나지 않았으니까……"
232-060	"무엇이 역린에 닿는지는, 이제 다들 알고 있잖아요.⏎───즉 복종을 거부하는 것"
232-061	"……"
