# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
233-001	"……왔나"
233-002	"밖으로 나가라"
233-003	"……하아? 왜?"
233-004	"밖에 나가면 보여 주겠다"
233-005	기묘하게 여기면서도……모두 순순히 따랐다.⏎전원이 방을 나서서, 담당자를 따라간다.
233-006	……우와아!
233-007	"와, 와아……"
233-008	"이거, 일부러……?"
233-009	"더 일찍 준비하고 싶었는데, 여러모로 바빠서 말이지"
233-010	"이쪽이……몇 배는 밝고 지내기 편할 거다"
233-011	확실히……꽤 멋지다…….
233-012	……
233-013	상으로 주는 것 같은 건가……?
233-014	"부분적으로는, 상이다"
233-015	호오?
233-016	"올바른 세계라면, 노력은 보답받아야 한다. 다르지?"
233-017	"게다가 가끔은 너희 숨통도 틔워 줘야 하니까"
233-018	"예를 들어……가축을 돌볼 때는,⏎몸 상태만큼 마음 상태에도 신경 쓰는 게 중요하다"
233-019	"너희는 내 양이고, 양치기는 나다.⏎여긴 너희의, 새로운 목초지라는 셈이지"
233-020	"호오, 그래. 명령이라면,⏎돌진해서 박치기라도 갈겨 줄까?"
233-021	"그래, 한번 해 보지 그래?⏎너를 때려눕히는 건 즐거우니까, 아이리스"
233-022	"칫……!"
233-023	이 주고받기에 몇 명이 웃고,⏎다 같이 방 안으로 조금 들어가, 곳곳에 앉는다.⏎프레이야는 실내 책상으로 가서, 그 앞에 가볍게 엉덩이를 걸쳤다.
233-024	"……고맙습니다, 프레이야 씨"
233-025	"가축 무리에 비유했는데, 나한테 고맙다는 거냐?"
233-026	"……뭐든지 각을 세우지 않으면 직성이 안 풀리나요?⏎상으로 주셔서 감사하다는 거예요!"
233-027	"그럼, 너희에게 새 과제를 주지"
233-028	"네네……여느 때처럼, 제 말은 무시하고 어서 하세요"
233-029	이번엔 누굴 때려눕히는 건가요?
233-030	"하하"
233-031	"진지한 얘기로, 이번엔 어른이 방해하러 올 일은 없을 거라 본다.⏎왜냐면, 이번엔 너희와 같은 학생이 상대니까"
233-032	"어, 어떤 과제인가요……?"
233-033	"각 고등학교에서, 슬슬 학생회 선거가 시작될 시기다"
233-034	"너희 합의로, 아마치 시의 어느 고등학교의,⏎어느 직책에 입후보한 학생 한 명을 골라……"
233-035	"그 녀석을 이기게 해라"
233-036	응?
233-037	"'이기게 해라'……라니. 무슨───?"
233-038	"선거를 조작해서, 당선시키라는 거다"
233-039	책상에 손을 짚는 프레이야.⏎그 손을 힘껏 밀어낸 기세로, 그대로 돌연 방을 나갈 작정일 거다…….
233-040	다만, 마지막에 이렇게 덧붙여 온다.
233-041	"과제는 내년, 1월 6일에 선거 결과가 나온 시점으로 종료한다.⏎허둥대지 말고 해라. 시간은 있다"
233-042	"그리고 말할 것도 없지만, 이길 것 같다는 이유로 후보를 고르지 마라.⏎너희가 진실을 말하는지는 한 번에 알 수 있다.⏎시시한 짓은 하지 마라"
233-043	"이상이다"
233-044	프레이야는 마침내 예상대로 행동에 나선다.⏎책상에서 밀고 떨어져, 그 기세로 곧바로 방을 나간다.
233-045	"……여느 때와 같네"
233-046	"분명 즐기고 있겠지, 저거. 얼른 나가는 것도,⏎목줄 색이 노래지는 걸 못 보게 하려는 거야"
233-047	"으음……일단……시작할까요"
233-048	네. 새 과제, 인가……,
233-049	생각건대, 이건 엄격히 따르지 않아도 된다는 거죠.
233-050	"응?"
233-051	선전 활동이나 선거 운동은 둘 다 선거의 조작입니다.⏎그녀는 편법도 시야에 넣으라고 말하고 싶었던 거겠지만,⏎반드시 쓸 필요는 없어요.
233-052	학생회에 낼 후보 정하기부터 시작할까요?⏎간단할 거라고 봅니다만.
233-053	어차피 이건 기분 전환도 될 것 같고.
233-054	다이브와 우리 사이의 무거운 분위기에서 벗어나기에는 딱 좋습니다.
