# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
234-001	"뭐야, 할 얘기가?"
234-002	"저……"
234-003	"……"
234-004	"뭐랄까, 그……특수 능력, 이 있는 모양이라서요……"
234-005	"……"
234-006	"……"
234-007	"……?"
234-008	"……"
234-009	"……저기, 괜찮아?⏎키츠에게 맞았을 때, 잘못 맞은 거라든가?"
234-010	아아……이거 아야메 씨, 내 망상이라고 생각하는구나.
234-011	진실이 아닌 것을 진실이라고 믿으니까,⏎입에 담아도 거짓말을 한 게 되지 않는, 그런……으음…….
234-012	좋아.
234-013	"괜찮아요, 문제도 없을 겁니다"
234-014	"요즘……요즘의 저는, 좀 무리를 하기 쉬웠다고 생각해요,⏎그, 특수 능력 때문에"
234-015	"메이는……눈치채고 있죠. 그중 한 번을"
234-016	"……"
234-017	"그 무리에 대해 얘기하는 건 다음으로 미루고 싶은데요"
234-018	"그래도……메이가 생각하는 대로의……힘이에요"
234-019	"대체 뭐야, 너 무슨 얘기 하는 거야?"
234-020	"……"
234-021	"우리가 달고 있는, 이 바인드라는 건,⏎감정이나 거짓말을 표시할 수 있는 것 이상이라고 생각해요"
234-022	"……!"
234-023	"얼마 전……스토리 씨가 체포됐을 때…….⏎와……저는……저기……"
234-024	으으……심장이……두근두근거려…….
234-025	침을 삼킨다.
234-026	침착해……침착하고……,
234-027	"……"
234-028	"혼자서 바보 같은 짓을 했어요.⏎경찰서 컴퓨터에, 몰래 로그인하려고 했어요"
234-029	"어……에에!? 그런데───그때 니아는───!?"
234-030	"……"
234-031	"네"
234-032	"형사님에게 들켜서……제지당했어요"
234-033	"그때, 갑자기, 세계가 멈춘 것처럼 돼서……"
234-034	"……떨어져 갔어요, 다른 세계로"
234-035	"……!"
234-036	"그랬더니 저, 그의 의심을 없앨 수 있었어요"
234-037	"형사님 마음에 다이브해서"
234-038	"그 다른 세계에서, 뭔가를 바꿨으니까……"
234-039	"'심상 풍경', 인가……"
234-040	……
234-041	……지금……에!?
234-042	에에!?
234-043	"아야메와……아이리스. 너희도 할 수 있지?"
234-044	"저……"
234-045	"뭐……뭐야 갑자기……"
234-046	"메이는, 들어간 적 있어요?"
234-047	"저……? 저기……"
234-048	"……"
234-049	"응, 있는 것 같아……"
234-050	그럴 수가…….
234-051	다들 할 수 있는 거야!?
234-052	"……다 같이, 증명해 볼까요? 여기서"
234-053	……? 그게, 무슨……?
234-054	"원칙적으로는 가능할 텐데요……,⏎여러 인간이, 함께 저쪽 세계로 다이브하는 건"
234-055	"시험해 본 적은 없지만요.⏎그럴 기회도 지금까지 없었으니까"
234-056	"……시작할까요?"
234-057	저……저기……,
234-058	"제가 시작할게요"
234-059	"어!? 뭐야───!?"
234-060	아에에!? 그, 잠깐……!
