# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
235-001	여긴……,
235-002	뭐……? 다이브……한 걸까?
235-003	머리뼈가, 갈라진 것 같은───.
235-004	……
235-005	메이는……,
235-006	……응, 괜찮아. 제대로 있어……메이가, 보여.
235-007	안심하고, 숨을 내쉬었다…….
235-008	"다행이다……정말로 메이다……어떻게 된 거죠?"
235-009	"글쎄……"
235-010	"다들, 괜찮나요?"
235-011	어?
235-012	나도 모르게, 둘이서 주위를 둘러봤다.⏎스토리 씨 목소리가……난다. 그런데, 모습은 안 보인다.
235-013	그때, 메이가 왼쪽을 향해서───,
235-014	"네가 한 거야?"
235-015	"……누구예요?"
235-016	메이는 이쪽을 향해서, 엄지로 휙,⏎지금까지 응시하고 있던 아무것도 없는 공간을 가리킨다.
235-017	"스토리겠지. 다른 누가 있겠어"
235-018	"저 말고는, 메이밖에 안 보이는데요……"
235-019	"하?……여기 없는 건 아야메뿐이잖아"
235-020	"에, 뭐야 그거, 따돌리기!? 나, 있는데!"
235-021	"아아, 제대로 있어"
235-022	……나에게는 아직, 메이밖에 안 보인다.
235-023	"으음……모르겠네요. 연결이 약한 모양입니다"
235-024	……이, '마인드스케이프'에 다들 있는 거야……?⏎……있는 듯, 없는……?
235-025	……
235-026	스토리 씨, 당신 대체 뭘……?
235-027	"저는, 다들을 데려온 거예요"
235-028	생각이 훤히 들여다보여?!
235-029	"네, 여긴 '마인드스케이프'니까……"
235-030	그래그래, 당연하잖아───정신 차려 니아───으윽!?⏎방금 메이인가요?
235-031	메이의 사고가, 내 것과 섞여 있다…….
235-032	……여전히, 짜증 나 있구나.
235-033	"아무래도 제 실력은 그 정도였던 모양이네요……,⏎아이리스에게 다이브해서, 요령을 잡은 것 같았는데"
235-034	"야 너, 대체 언제, 뭘 어떻게 했다는 거야!?"
235-035	"이미 두 번 다이브했어요"
235-036	"하아!? 왜!?"
235-037	"첫 번째는……살짝 잠입했고요.⏎두 번째는, 구조 목적입니다. 정말이에요"
235-038	"두 번째───?……잠깐, 그거 나한테……?"
235-039	"네. 도서관에서 쓰러졌을 때입니다……"
235-040	"에에!?"
235-041	"그리고 그 두 번째로 네 마음을 더듬고 있을 때……"
235-042	……! 앗, 보였다!
235-043	"찾아냈어요.⏎아리아와 아이리스가, 똑같이 인연을 맺은 기억을……"
235-044	"……아아. 나와 아리아는 여기서 맞붙었어.⏎……그 뒤로 서로, 도와줬고"
235-045	"그 덕분에, 나름대로 이해할 수 있게 됐어요.⏎'마인드스케이프'의 본질에 대해서"
235-046	"그, 본질, 이라니……?"
235-047	"연결의 '필드', 라고나 할까요.⏎참고로 여기의 정식 명칭은 '공유 공간'이라고 합니다"
235-048	"아마 여기까지 연결이 깊은 의식끼리라면,⏎다이브 자체는 상대 옆에 있지 않아도 가능할 가능성이 높겠죠……"
235-049	정말로……?
235-050	"그리고 '마인드스케이프' 안의 풍경이나,⏎우리가 바인드를 통해 연결된 현 상황을 감안하면,⏎십중팔구 이건……"
235-051	……아이리스 씨와 아야메 씨 모습이 희미하게 보이기 시작했다.
235-052	"확실히 RMI가 얽혀 있다……그런 거야?"
235-053	"그거……즉……"
235-054	"순리대로 생각하면, 우선 그것 외의 결론은 생각할 수 없네요……"
235-055	"즉───여긴 에이브가 인류에게 남긴 공간인 거겠죠.⏎물론 어떤 의도인지는, 추측할 수밖에 없습니다만"
235-056	에이브…….
235-057	"에이브라니……! 그런……절대 안 되잖아!"
