# Korean character names -- In Falsus
# Format: <raw name><TAB><korean>. The raw name is the game's internal
# key in DynamicStringMapping.rawStoryNameTypeMapping; only rows this
# project translates are listed.
???	???
Advisor	고문 선생님
Announcer	아나운서
Another Boy's Voice	다른 소년의 목소리
Another Girl's Voice	다른 소녀의 목소리
Another Student	다른 학생
Another boy's voice	다른 남자아이의 목소리
Another girl's voice	다른 여자아이의 목소리
April	에이프릴
Aria	아리아
Ayame	아야메
Beck Student	베크의 학생
Botany Steve	보타니 스티브
Boy	소년
Boy's Voice	소년의 목소리
Boy's voice	남자아이의 목소리
Caio	카이오
Cute Girl	큐트한 아이
Dad	아빠
Death and Summer 1	죽음과 여름:A
Death and Summer 2	죽음과 여름:B
Death and Summer 3	죽음과 여름:C
Death and Summer 4	죽음과 여름:D
Death and Summer 5	죽음과 여름:E
Death and Summer A	죽음과 여름:A
Death and Summer B	죽음과 여름:B
Death and Summer C	죽음과 여름:C
Death and Summer D	죽음과 여름:D
Death and Summer E	죽음과 여름:E
Detective	경관
Ellen	엘렌
Fell	펠
Freya	프레이야
Girl	소녀
Girl's Voice	소녀의 목소리
Girl's voice	여자아이의 목소리
Hana	하나
Helvi	헬비
Her	그녀
House	하우스
Io	이오
Iris	아이리스
Iris's Dad	아이리스의 아버지
J	『J』
Janitor A	용무원:A
Janitor B	용무원:B
Janitor C	용무원:C
Kanae	카나에
Kanau	카나우
Keats	키츠
Lily	릴리
Lynn	린
Man's Voice	남자의 목소리
Man's voice	남자의 목소리
Manager	점주
Mei	메이
Mireille	미레유
Mom	엄마
Movie	영화
Mute	말 없는 아이
Newscaster	캐스터
Nia	니아
Nia on the News	뉴스 속의 니아
Officer	순경
One Student	한 학생
One student	한 학생
Other Girl	다른 아이
Popular Girl	인상 좋은 아이
Principal	교장 선생님
Punk	불량스러운 아이
Raine	레인
Receptionist	접수원
Reporter	리포터
Rivers Student	강변의 학생
Selene	세레네
Shopkeeper	골동품점 주인
Sousuke	소스케
Story	스토리
Student	학생
Suspect	용의자
Teacher	선생님
Thief	불량배
Thug	악당
Touko	토코
Truth	진실
Tsuru	츠루
Voice	목소리
Voice 1	수수께끼의 목소리:A
Voice 2	수수께끼의 목소리:B
Voice 3	수수께끼의 목소리:C
Voice 4	수수께끼의 목소리:D
Voice A	수수께끼의 목소리:A
Voice B	수수께끼의 목소리:B
Voice C	수수께끼의 목소리:C
Voice D	수수께끼의 목소리:D
Voiceless	소리 없는 목소리
Woman's Voice	여자의 목소리
Woman's voice	여자의 목소리
Wren	렌
You	당신
Ōyagi	오야기
